userName,content,score,at
Vadly Asri,"Susah login, berkali² mau login gak bisa. Sangat menyusahkan bagi yang mau buru2 bertransaksi. Mending ganti bank lain aja. Aplikasi nya jelek.",1,2024-10-19 00:03:14
Meta Ayu,"Skrg susah banget buka apk BNI Mobile Banking ini, kenapa ya ? Kendala sinyal ? Gamungkin lah tiap hari . Tolong dong di perbaiki susah banget skrg mau transaksi",3,2024-10-18 21:58:19
ziio Bintang,Bagus,5,2024-10-18 18:24:43
Tyrta tyrta,Kok susah mau masuk,5,2024-10-18 18:03:49
Deddy Suriawan,Semenjak ada aplikasi wondr utk setor tunai di Mbanking BNI ga bisa dilakukan. selalu muncul ket. peningkatan pelayanan.. sudah hampir 2 bulan seperti ini.. lama2 jadi malas mw nabung nya klo kayak gini. krna ga semua sempat nabung ngantre ke bank. tolong perbaiki lagi,3,2024-10-18 16:20:16
Desi Wulandari,Opsionality seperti mempayahkan saya. Maafkan saya perhitungkan. Dan berkan saya job gerakan massal personal vicsi dan friptew saya. Tanya google tags.,1,2024-10-18 14:39:03
Bali Temporary,Great,5,2024-10-18 14:15:42
Memen Meiriza,good,5,2024-10-18 13:38:45
Andri purnama,Aplikasi yang mem bagong kan 🗿,5,2024-10-18 11:36:08
Muhammad Okta fernando,kenapa akun saya selalu ga bisa di buka ya sdh masukan login sdh bener tapi tulisannya id tidak terdeteksi gimana solusinya ini,1,2024-10-18 09:39:32
Otens toleng,Setelah diunisal dan diinstal kembali tidak bisa login padahal saya suka banget sama apk ini,1,2024-10-18 09:17:36
Jigong gong,Gijil. Tf alert trus gjelas cuk,2,2024-10-18 09:00:31
ainur rofiq,"Sekedar saran, mohon bisa dibuatkan qris buat all payment atau bni bisnis.",5,2024-10-18 08:53:16
R GAMING,"tolong ya kantor BNI DI Padang dekat UNP tolong d perbaikin pelayanan nya , Saya menyesal dan kecewa datang kesini , mau cetak kartu ATM malah disuruh tunggu SMA satpam nya , lama juga saya nunggu , ujung2 nya ada costumer datang nyamperin saya kirain mau cetakin kartu , eh malah yg lain d bahas nya malah disuruh instal Wondr , abis tu baru dksh nomor antrian . Pokok nya saya kecewa datang kesini , pelayanan nya ke nasabah kurang baik dan tidak ramah, dia lebih mengutamakan nasabah yg bnyk uang",1,2024-10-18 08:40:58
Vloging Chapter,"Jujur skrng susah login keterangan coba lagi coba lagi , coba di perbaiki lagi system nya, hadeh",1,2024-10-18 07:42:41
Susanto Wisnu,Mantap,4,2024-10-18 07:40:02
Alfan Official,"Sumpah dehhh, ini kerja tim IT BNI atau staff BNI yg nangani apk BNI gmn sih? susah bener tiap saat ada aja gangguan. saldo dipotongin tiap bulan, tapi kerja nya gk becus. Gue gk ikhlas ya uang potongan transaksi yg udh gue lakuin di BNI tapi hasil kerja nya kyk gini. Tiap hari suka bener gangguan aplikasi ny. Contoh noh BRI, gk UI/UX nya aja yg bagus, tapi aplikasi nya jarang gangguan. add: masih blm ada perubahan. ditunggu perubahan nya y. jgn bikin customer muak. gangguan terus aplikasinya",1,2024-10-18 07:38:18
Delva Fajar,BNI ok selamat dn sukses selalu ❤️semoga semakin bnyk nasabahnya jg pelanggan terus naik dn semakin mningkat laba bersihnya,5,2024-10-18 07:26:26
Aqila khairunisa Aqila,aplikasi y sekarang sulit di gunakan,2,2024-10-18 03:55:59
Adam Irwan,Bagus,5,2024-10-18 03:32:00
Merintan Putri Aulia Simbolon,selalu susah bgt buat login😭😭,2,2024-10-18 03:26:17
Yusuf Iskandar,Minta update yg versi 5.9,5,2024-10-18 02:29:14
M .KHOIRUL ANAM,mintak izin,3,2024-10-17 23:06:26
narsih comel,Kembalikan uang saya yang telah kamu curi Lahir batin saya tidak ikhlas,1,2024-10-17 20:19:12
FFHA Barangan,"Makin kurang bagus aja BNI skrg ini...ntah apa,mau log ini aja susah kali.macam bank kampungan kalian ku tengok...",1,2024-10-17 17:48:17
Pinang Lestari,Bingung,5,2024-10-17 16:30:21
Erwan Syah,"login aja susah,keterangan mohon maaf kami sedang meningkatkan layanan mobile banking... tiap hari haha lucu ini mbnking",1,2024-10-17 16:26:41
Muqorrobin Yusuf,"BNI tolong dong segera diperbaiki, ketika ada kebutuhan urgent malah ga bisa dibuka",3,2024-10-17 16:15:52
Amal Syahrani,"Makin lama makin susah transaksi, jaringan normal",2,2024-10-17 15:39:49
M. Yoan Aldo,Lama gak ku pakai BNI ini. Kirain bakalan ada perbaikan ternyata masih sama saja wkwkw,1,2024-10-17 15:07:18
D' Hazzard,"Sangat disayangkan untuk login M-Banking butuh kartu debit yg aktif, padahal tabungan saya masih aktif loh",2,2024-10-17 14:19:53
HAR HARSONO,baik,5,2024-10-17 13:55:02
Fatristan alfandy,Sangat aman nyaman terpercaya Dan hemat waktu,5,2024-10-17 13:15:23
Adinda Tri Putri,"Ini kenapa ya ga bisa top up e wallet, gangguan terus Tolong diperbaharui lagi apk ny",1,2024-10-17 11:49:25
Aris,Kasih dua bintang dulu kalau nggak susah daftar ku tambah lagi nanti,2,2024-10-17 11:30:02
Delnod Giri,Tiap pembelian pulsa listrik selalu gagal 🤮👎,1,2024-10-17 10:42:00
Baru belajar Mengaji,Scan qr saya error kamera tidak bisa aktif,2,2024-10-17 10:41:14
panji yudha,"Setiap mau scan QRIS ko lama ya, malah kadang gak bisa",3,2024-10-17 08:53:06
CHANNEL CAMPUR RASA,"Entah apa maksud dari pihak BNI ,,daftar kartu kredit bni jenis A dengan tahunan murah malah di Acc merek B,,yang biaya tahunannya sangat mahal dan tidak ngotak,, Sebenarnya simpel saja kalian tinggal bilang saja tidak dapat diproses lebih lanjut,,atau tidak di acc,,kan beres,,ga perlu bertele tele,,,untung saja gegara payrol gaji di bank ini,,kalau tidak ga bakalan aku pakai bank ini anjemggg..ini kali ke dua aku pengajuan,,kalau masih sampai gitu,,ga bakalan aku pakai bank ini untuk transaksi",1,2024-10-17 08:02:11
Bona Nababan,Semenjak ada wondr aplikasi ini srg gk bisa log in. Mau log in di wondr selalu gagal verifikasi. Apakah harus beralih ke bank lain?,1,2024-10-17 07:13:36
Near River,"Bangke lah. Lagi perlu beli token, malah error 91. Sempat mati lampu jadinya",1,2024-10-17 06:54:53
Chep Badru,Ok mantap sekarang semoga lancar2 aja smua piturnya 😎,5,2024-10-17 06:38:25
Syamsopyan Vian,"Mau login aja susah.. masa alasannya meningkatkan layanan terus, alasan lagi boker kek, beli minyak kek, apa kek... aghhhh payahhh.",1,2024-10-17 06:21:50
Suryana Suryana,susah login kenapa ya,2,2024-10-17 05:57:19
achmad marufabidin,"Kalo ada bintang di bawah 1 bakal saya kasih,,, mau login aja susah bener,",1,2024-10-17 05:53:29
Mala Mala,Cepat,5,2024-10-17 05:33:43
seno hartanto wibisana,"Udah masukin otp berkali², ga berhasil juga Masa iya hari gini harus ke kantor cabang dulu , baru bisa buka rekening 😅",2,2024-10-17 04:15:27
Chelsy Sasabila,Emnge bisa Tah ambil uang e carae gimana,1,2024-10-17 04:11:14
Zelvest,Mau setor tunai keterangan dalam pengembangan mulu..!! Padahal butuh banget Mau ganti bank aja,1,2024-10-17 03:57:40
Eman sulaeman,"Selalu gagal transaksi, saldo 650rb tidak bisa transfer ke dana.",2,2024-10-17 03:55:47
Abdul Rauf,Sangat membantu,5,2024-10-17 03:47:27
Robert Top,Costumer servicenya lemot.,2,2024-10-17 03:27:27
Ardi Ansar,GOOD JOB,5,2024-10-17 01:54:00
Irul Widiyanti,Oke,5,2024-10-17 01:52:27
Fitria Razna,"Kenapa aplikasi nya sering nggak bisa dibuka, harus uninstall dlu baru bisa login lagi..",2,2024-10-17 00:00:50
Fauzin Fauzin,Bni minta uang 1 trilinun kirim ke tempat tinggalku Jl. Sambi desa Sambirejo RT8 RW2 kecamatan Gampengrejo kab. Kediri. JAWA TIMUR,5,2024-10-16 20:53:57
Alreinad Yusuf Hadi Tara,"app busukkk, perbaikan terus nggak guna",1,2024-10-16 20:42:17
Emge Sz,"Aplikasi jelek, kebanyakan maintenance",1,2024-10-16 19:07:48
Bf19 DjpAul,Kenapa bisa 3kesalahn lalu langsung nggak bisa memang,1,2024-10-16 16:47:31
I Kadek Agus Putra Jaya,"Admin BNI, please sampein jangan ilangin aplikasi BNI mobilenya,biarin aja 2 aplikasi ni sama wondr biar kayak BCA gitu, gw suka bgt sama Interface BNI Mobilenya",5,2024-10-16 16:41:57
Arif Munandar,Aplikasi tdk diapa apain. Mau login tdk bisa muncul notivikasi harus melakukan aktivasi ke kantor bank terdekat. Padahal bln sebelumnya masih bisa login ...sangat disayangkan.,2,2024-10-16 14:26:13
Ahmad Abidzar,Transaksi lebih mudah,5,2024-10-16 13:29:41
elan otok otok,Kalo udah terima kode otp..itu kode otp nya d tulis dmn... soalnya GK faham,3,2024-10-16 12:26:58
Hairul Fuadi,sangat membantu,5,2024-10-16 11:33:06
Ryy fahri,maaf banget tapi suara notifikasinya bikin ngagetin orang 👎,3,2024-10-16 10:04:35
Masitoh _027,"BNI tolong diperbaiki lagi fiturnya banyak yg bermasalah, mau tf lagi buru² penting bgt malah gabisa². Kesel bgt pen marah²",1,2024-10-16 08:42:48
Rahman Saifullah,Waaaah bagus sekaliiii...!,5,2024-10-16 07:28:04
Rastan 484,susah daftar,5,2024-10-16 07:15:47
Hendrik Mamele,"Susah login,,, makin ribet kode otp email nda masuk"" Mohon dari BNI di perbaiki sistemnya.",1,2024-10-16 05:07:00
Wahyudi Asadiki,Kocak gak bisa buka rek online,1,2024-10-16 01:41:54
Bagus Panggayuh,lemot,1,2024-10-15 19:19:13
Yudi Nada,Susah transaksi di jam 00:00 - 06:00,1,2024-10-15 19:14:01
Dino Azwar arif,"mobil banking apaan ini masa tiap jam 1 mau transaksi harus usaha login berkali kali, koneksi terputus mulu wooii jaringan gua stabil apk cacat",1,2024-10-15 18:10:52
Darwin Nurranda,"Apalah login susah apa apa susah, W cuman butuh mbangking nya anjir bukan di suruh ke cabang terdekat nya. Haduhh anggel anggel🙈",1,2024-10-15 18:09:36
Andi Waldi,oke,5,2024-10-15 15:28:38
Nawang Jagger,Apaan kirim laporan gagal saldo gak balik malah ilang,1,2024-10-15 14:53:47
Buddy As,"Log in susah sekarang.. Meningkatkan layanan tiap waktu, Saat diperlukan selalu begitu, sangat merugikan",1,2024-10-15 14:31:08
"Kurma,Madu,Agen pulsa nasional Agus Budi Kusumo","Alhamdulillah di sini ada produk TANPA BUNGA TANPA PAJAK. Jadi amat sangat membantu sekali untuk kita² wirausahawan. Yang amat sangat penting juga, pakai kartu ATM, mesin CDM juga banyak,aplikasi untuk transaksi apapun juga ada,amat sangat aman sekali & fitur²nya banyak. Walaupun ada uang mengendap,ya cuma Rp.15rb. RECOMENDED sekali buat kita².",5,2024-10-15 13:21:27
Deti Bayunisari,"Eror terus, selalu pemeliharaan ni banking",1,2024-10-15 12:53:02
Zaenal Komar,excellent,4,2024-10-15 11:46:23
Yoko,Baguss pkoknya,5,2024-10-15 11:42:03
Sut rimah,baik 🙏🙏,4,2024-10-15 11:21:53
Rumah terapi Tamaka,Susah login,1,2024-10-15 11:15:20
Umi Sholihah,"selalu memberi kemudahan saat bertransaksi,thanks BNI mobile banking",5,2024-10-15 10:14:26
Andikaa New,"kenapa saya mau login tidak bisa padhal saya sudah terdaftar ke aplikasi dan tulisan nya ""nomor rekening salah"" padahal saya coba transfer ke akun bni saya bisa dan namanya juga sama tapi tidak bisa masuk ke aplikasi,,,mohon bantuannya",1,2024-10-15 09:42:07
Renol Batara,good,5,2024-10-15 09:27:13
Achmad Faradibta,"Ini gimana Ini , buka aplikasi perbaikan perbaikan terus, kalian pengen kami pindah ke wondr itu kan ? permainan kalian kotor kali ah.",1,2024-10-15 08:55:20
Athala,ok,4,2024-10-15 08:55:08
Stedy Pangalila,good,5,2024-10-15 08:34:49
Fatimah indah Hariati,sangat baik,5,2024-10-15 08:25:33
Nandi Yuliandra,"CS sama kaya bot, ga guna, di kasih pertanyaan cuman bisa jawab template",1,2024-10-15 07:23:43
Gosong,Ini aplikasi bagus banget tapi kenapa mw digantikan ke wondr? Ini aplikasi udah bug free fitur2 banyak user friendly terus kenapa mw digantikan wondr yg masih banyak masalah bug dll terus fitur 2 bni banking mw dipangkas dipindahin ke wondr kenapa saya bayar tagihan saya ga pernah ribet di bni banking nah kenapa sekarang mw diribetkan ke wondr? Nyusahin konsumer ini namanya,3,2024-10-15 07:01:17
Tueyani Tur,ok,5,2024-10-15 07:00:39
diden beybe,weeeeellll,4,2024-10-15 06:54:10
conita aisyah,semakin baik .,5,2024-10-15 06:41:01
MUHAMAD IQBAL,Maksud dri bni mobile apasih?? Kok sepanjang hari mintnance truss.. Malu lah sama app mobile lain Masa ga ada kemajuan. setiap mau login dan transaksi slalu ada saja gangguannya mending di hapus aja sekalian klo ga guna apknya,1,2024-10-15 06:18:01
Rudy Cahyono,membantu banget,5,2024-10-15 05:52:57
Af Afili,Kurang paham,5,2024-10-15 05:44:50
Habib Azh,"Gimana sih, mau log in aja susah, Bank sebesar BNI ko trouble aplikasinya lama banget. Mending hapus aja deh BNI mobile biar pakai Wonder aja",1,2024-10-15 05:42:03
Bagas Febrian,Bayangin lagi posisi genting malah peningkatan layanan. Orang IT nya bisa kerja ngga ya,2,2024-10-15 05:17:40
Angkut Tapusss,"kenapa login nya jadi susah, sering muncul, tulisan kami sedang meningkat kan layanan mobil banking, kan kita jadi malu mau tarik saldo gak bisa login, tolong d perbaiki",5,2024-10-15 04:56:50
Yuyu Purnama,puasa pelayanan nya,5,2024-10-15 04:47:50
ja'far sodiq lillah,Punya saya tiba² selalu forclose terus kenapa??,5,2024-10-15 03:28:59
Bambang Santoso,semakin mantap,5,2024-10-15 03:01:00
Airi Ri,tidak ada sangat baik,5,2024-10-15 01:34:57
Rahman KSOP,memudahkan,5,2024-10-14 23:51:20
suriono suriono,ok mntaap,5,2024-10-14 23:48:28
Nova Wulandari,Mau login tapi transaksi tidak dapat di lakukan terus. Hadeh,1,2024-10-14 22:53:41
Bunda 121,sangat bagus dan memuaskan,5,2024-10-14 22:27:23
"H. ABDUL RACHMAN YUSUF, SE, MM, BKP","sangat memuaskan menggunakan mbanking BNI, praktis, efisien waktu untuk semua transaksi",5,2024-10-14 22:21:16
PUTRA HANN,baik,5,2024-10-14 21:25:53
peldi tangirang86,sangat membantu,5,2024-10-14 17:32:37
Rudi Gunawan,bagus bisa buat isi token 👍,5,2024-10-14 15:48:55
Vera Bawotong,pakai mobile bangking bni jd lebih mudah,5,2024-10-14 15:44:52
kayana Alden,ok,5,2024-10-14 15:03:51
Delta alpa Uniform,Sangat membantu,5,2024-10-14 13:29:15
MR Aj,good,5,2024-10-14 13:08:38
Pepry Ramajayandri,Maintenance terus,3,2024-10-14 12:48:03
Zainal Alim,praktis,5,2024-10-14 12:36:23
Pathur 87,sangat puas,5,2024-10-14 12:06:58
Babe Abadi,ok,5,2024-10-14 11:45:18
Tajuddin Trk,OKE,5,2024-10-14 11:34:07
Eka Hairunnisa,layanan cepat dan bagus,5,2024-10-14 10:45:55
Musafir,👌🏻👍🏻,5,2024-10-14 10:39:53
sukro sukro,sangat membantu sekali,5,2024-10-14 10:26:10
Arie Suprianto,dari dulu tetap setia Dengan BNI,5,2024-10-14 09:41:00
yadhizaz nm,"ribet,tampilan bikin pusing gak kaya bca",1,2024-10-14 09:37:06
Putra Adly,"Apk mbanking ga jelas, apa² maintenance, apa² maintenance, no recommended",1,2024-10-14 09:03:16
Asmuna Asmin,lumayan responsif,4,2024-10-14 08:53:11
Elfa Nuranisa,Memudahkan bertransaksi,5,2024-10-14 08:43:17
saryono Putra27,BNI PALING OK,5,2024-10-14 08:06:01
Dharma Putra,Maw log in payah.. Selalu alert masih perbaikin sistem.. Agar diperbaiki segera...,1,2024-10-14 07:12:07
Ista Manikin,Bagus,4,2024-10-14 06:07:02
Sugeng Ardian,ok,5,2024-10-14 05:57:09
Andi Akhmad Norfitri,mantap,5,2024-10-14 05:54:51
Imam Nur Kholiq,CS NYA LEMOT SEMUA,1,2024-10-14 05:03:23
sri yanti,Mantap jaya terus BNI,5,2024-10-14 05:01:16
Rina Munfaridah,puas sekali sangat membantu,5,2024-10-14 04:58:48
dwiayu novyawati,BNI mobile mempermudah transaksi,5,2024-10-14 04:49:56
Galang Aditama,Aplikasi mudah,5,2024-10-14 04:33:24
Wesly Ernes Kapitan,Memudahkan transaksi.,4,2024-10-14 04:30:48
Ryan Prastyo,Mau log in aj susah sekarang ini Cba di perbaiki lebih baik lagi team i t nya bikin susah jika ad keperluan mendesak,1,2024-10-14 04:29:38
Tata Dandy,memuaskan,4,2024-10-14 04:07:00
NURHANI PUTI UTAMI,gampang dan mudah do gunakan,5,2024-10-14 03:38:54
M. Wisnu Wardana,UI/UX jelek banget sumpah,2,2024-10-14 03:02:39
Ilham putra Choir,good,5,2024-10-14 02:16:17
Lilia Fransisca,"Udah beberapa bulan susah sekali untuk Log In.. Udah install Wondr, tapi beberapa fitur tidak bisa diakses.. BNI tolong dong jangan begini.., kita jadi kesulitan untuk pantau transaksi",1,2024-10-14 02:02:15
Papa - MUDA,"Sering gak bisa log in, kata nya alasan perbaikan,",4,2024-10-14 01:56:05
Kur Nisintayati,Semoga tidak mengecewakan,4,2024-10-14 01:48:02
Ulfa Fauziah,Top,5,2024-10-14 01:46:16
Aira latief,bagus.. cuma jarang ada promo nya,5,2024-10-14 01:12:42
Fir Man,👍👍👍👍,5,2024-10-14 00:16:50
Tomie Nugraha,berguna untuk pembayaran digital,5,2024-10-14 00:11:26
miyasri al haj ibnu jarni,mantap,4,2024-10-13 23:25:13
Lidya Farida,sangat membantu... tq BNI mobile banking... maju terussss,5,2024-10-13 23:22:22
Rc Rock Crawler QD,Aplikasi payah ngehubungin layanan cs aplikasi aja susah nya minta ampun.. Ga pernah mau nyambung,1,2024-10-13 19:51:40
Yusar Yahya,cocok,4,2024-10-13 16:49:58
Sapto Santoso,ok,5,2024-10-13 16:44:23
Nasarudin Latif,baik,4,2024-10-13 16:16:50
Polce Madeso,sangat baik dan membantu saya👍,4,2024-10-13 16:08:49
Herry Atmaza,Bagua,5,2024-10-13 15:35:15
Sandi Surya,"Melakukan pembelian token listrik 2x dan keduanya gagal tetapi saldo tetap dipotong, mantap memang pelayanan plat merah 👍🏻",1,2024-10-13 15:31:37
Nur Khamid,bagus,5,2024-10-13 15:05:06
Ali rahman Lumban Tobing,Mantap,5,2024-10-13 15:02:58
Pande Putu Wirawan,"Sudah 3 hari tidak bisa login, kenapa dengan BNI sekarang? tidak ada pemberitahuan apapun juga sebelumnya terkait masalah ini, mau melakukan transaksi urgent jadi terkendala, tolong cepat di atensi agar kami pengguna layanan kembali nyaman memakai BNI mobile ini.",2,2024-10-13 14:30:15
Salman,Sangat membantu,5,2024-10-13 14:28:00
Subhan,Ok 👍,5,2024-10-13 13:58:15
Mickey d'chodias,puasa,5,2024-10-13 13:25:26
Sigit Kamseno,bagus aplikasinya,5,2024-10-13 12:58:14
